Index,Keyword,Tweets
0,sad,feeling extra sad tonight
1,sad,'m glad meet new fellow 96 people like good progress like stuck
2,sad,I suddenly felt sad
3,sad,sad took hour make
4,sad,sad knowing generation last em played outside ... little siblings cousins wann
5,sad,After watching CCTV footage I feel sad poor dog gon na lose life something n't eve
6,sad,Depression set time/ day affect one type person It consistently sad disease
7,sad,Someone getting annoyed middle finger emojis mate I literally
8,sad,Christians one big monolithic voting block Jared We come different races backgrounds We
9,sad,x1 related wanted share former NineMuses member/leader Sera 's reaction youn
10,sad,Half friends Chicago use food stamps food budget
11,sad,Tonight watch Kansas City Sad Warriors face El Paso Kind Magic
12,sad,Brainwashed ppl horribly run socialist nations like Germany come USA wanting turn country oppress
13,sad,Melanie Faye Super Sad Always
14,sad,My phone spoilt last night I sad I getting new phone nextweek
15,sad,After vodka lady kids got partying greatest accomplishment date anyway
16,sad,made poe fucking drug dealer poe dameron drug dealer ca n't even express mad sad feel ht
17,sad,Take religion guns ... sad thing Christians two one
18,sad,-response editorial-how sad w/your position see POTUS anointed amp appointed-God
19,sad,What co-incidence day supported verdict special court today ha
20,sad,Mara I thought smart Your lack critical thinking sad Go back school
21,sad,Haha Haha blatant lie know masjids coordinated speakers notes passed You sad
22,sad,12/20/19 Energy Day Turn dreams reality You may currently feeling sad sort loss Don
23,sad,It 's going sad finds 's still president
24,sad,What co-incidence day supported verdict special court today ha
25,sad,Remarkable sad People dying disease market get done hit US
26,sad,This sad I feel sometimes pero time hindi kasi easily get hookups app
27,sad,Speaker Nancy Pelosi President Trump 's attacks Rep. Debbie Dingell late Rep. John Dingell `` Cruelty
28,sad,When coming back Sabito *slaps sad feelings onto Giyuu* I wish head empty I fall asleep mmm
29,sad,I sorry Please patient My heart fragile sometimes get sad n't know
30,sad,whatta sad night hahaha
31,sad,sad knowing generation last em played outside ... little siblings cousins wann
32,sad,It 's going sad finds 's still president
33,sad,After watching CCTV footage I feel sad poor dog gon na lose life something n't eve
34,sad,Hey trying go sad birthday
35,sad,Only twitter knows sad broken generation is..
36,sad,There message way person treats pay attention I think people forget sometimes person trie
37,sad,Believe park grandfather took child Nothing funnier watching animals attempt
38,sad,It 's going sad finds 's still president
39,sad,u ever meet someone incredible ur sad u meet earlier life
40,sad,___ know find save sad ... mylife always loving ____
41,sad,Every year Christmas loses bit magic Send sad tweet
42,sad,sad knowing generation last em played outside ... little siblings cousins wann
43,sad,pain killers work sad
44,sad,sad knowing generation last em played outside ... little siblings cousins wann
45,sad,You gone never forgotten Spc Chaves May God bless comfort family sad day R.I.P Avado
46,sad,I love tradition I sad miss year And performing 12 Days Christmas
47,sad,GIRL I KNOW I GOT SAD I THOUGHT YOU 'D BE THE FIRST
48,sad,HOBI S TINY HAND IN JOON S BIG ONE IM SO SAD
49,sad,Such sad week children Curry-Moylough Co. Sligo locked local playground becaus
