Index,Keyword,Tweets
0,werther effect,Werther Effect negative stories linked increase suicide deaths
1,werther effect,HIPAA additional legal challenges aside ethical issues Who
2,werther effect,Let tell something On `` Sugar Free Werther 's Hard Candies '' package warning `` Mild Laxative
3,werther effect,Werther effect brought celebrities suicides Source Also jounalist added W
4,werther effect,Papageno Effect stories overcoming thoughts linked potential decrease deaths
5,werther effect,She 's obviously natural McDonnell seemed trying effec
6,werther effect,Papageno Effect stories overcoming thoughts linked potential decrease deaths
7,werther effect,The Werther Effect Why Suicide Can Be Contagious Exploring mind
8,werther effect,The Werther Effect Why Suicide Can Be Contagious Exploring mind
9,werther effect,Werther effect
10,werther effect,The Halo Effect one delusions commonly found corporate world It tendency look
