Index,Keyword,Tweets
0,depressed,On scale 1 Theresa May depressed feeling rn Lols
1,depressed,All sudden bitter/ depressed person starts picking habits exchange I
2,depressed,Sad Pray Over thinking Pray Giving Pray Hurting Pray Depressed Pray Struggling Pray Worried Pray Pray
3,depressed,My brother getting depressed school 3rd grade It clear going
4,depressed,Sad Pray Over thinking Pray Giving Pray Hurting Pray Depressed Pray Struggling Pray Worried Pray Pray
5,depressed,Thanks Please pray dad His dad 's best friend passed away earlier year He 's alre
6,depressed,Suddenly I depressed I end back harmonizer fandom 2014-2017
7,depressed,When I 'm quiet I 'm either Tired Overthinking Depressed Broke Wan na sleep All
8,depressed,pLeAsE gO tHrOuGh WhAt ThE aCt SpEcIfIeS abey think depressed procrastinating generation turned prot
9,depressed,Sad Pray Over thinking Pray Giving Pray Hurting Pray Depressed Pray Struggling Pray Worried Pray Pray
10,depressed,forgot files finished watching kny made shitty joke little later went
11,depressed,pLeAsE gO tHrOuGh WhAt ThE aCt SpEcIfIeS abey think depressed procrastinating generation turned prot
12,depressed,Waiting 1354682656168411369521282 articles GD amp TOP 1354651681164646453461451 pressed depressed angry Knet
13,depressed,I depressed senior year highschool 2nd year college shit almost took life wh
14,depressed,Sad Pray Over thinking Pray Giving Pray Hurting Pray Depressed Pray Struggling Pray Worried Pray Pray
15,depressed,Sad Pray Over thinking Pray Giving Pray Hurting Pray Depressed Pray Struggling Pray Worried Pray Pray
16,depressed,Dear Lord today decorate undervalued light left send angels sing depressed enlarge gift
17,depressed,losing attitude depressed cus ur instantly reaching ur goals winning attitude thankful opportu
18,depressed,thinking tweet like `` thing stopping men pedophiles law ''
19,depressed,Am amazed one receiving airport Let days move faster Some people
20,depressed,Babe We depressed stop steering Go hit gym 'll fine
21,depressed,Rise Skywalker actually made depressed Post memes I need amusement
22,depressed,Dear Lord today decorate undervalued light left send angels sing depressed enlarge gift
23,depressed,It argued evidence support A tenuous argument
24,depressed,If 's wonderful time year many depressed people
25,depressed,pLeAsE gO tHrOuGh WhAt ThE aCt SpEcIfIeS abey think depressed procrastinating generation turned prot
26,depressed,If money makes depressed give whatever
27,depressed,Wow I think I 'm depressed
28,depressed,pLeAsE gO tHrOuGh WhAt ThE aCt SpEcIfIeS abey think depressed procrastinating generation turned prot
29,depressed,everyone depressed
30,depressed,When I depressed bad mood remedy I found truely help look 2020 tarheel r
31,depressed,Been depressed horny lately idk I wan na fuck die
32,depressed,Force Ghost Luke Skywalker smiling might worth ticket price It purifying Rian ugly sour
33,depressed,I honestly even begin imagine depressed first person plop scoop ice cream glass soda
34,depressed,When I depressed I try think poor woman 's face
35,depressed,My favourite Youtube channels past decade 2010 2011 2012 2013
36,depressed,I wan na fucking dance Not depressed I wan na break stuff Not go crazy head I need
37,depressed,Im depressed right whatever
38,depressed,Waiting 1354682656168411369521282 articles GD amp TOP 1354651681164646453461451 pressed depressed angry
39,depressed,I 'm depressed already
40,depressed,pLeAsE gO tHrOuGh WhAt ThE aCt SpEcIfIeS abey think depressed procrastinating generation turned prot
41,depressed,Sad Pray Over thinking Pray Giving Pray Hurting Pray Depressed Pray Struggling Pray Worried Pray Pray
42,depressed,I really let go im starting feel depressed I need something I motivati
43,depressed,I follow account laugh ridiculous opinions get depressed suicide notes
44,depressed,thank making everyone extremely depressed
45,depressed,Dear God today decorate undervalued light left send angels sing depressed enlarge
46,depressed,It scarier though world awful trans non-binary kids Like I tryi
47,depressed,Sad Pray Over thinking Pray Giving Pray Hurting Pray Depressed Pray Struggling Pray Worried Pray Pray
48,depressed,girl dancing West Mall said 's depressed LRT
49,depressed,Is financially depressed ... I gave diagnosis result
