Index,Keyword,Tweets
0,depression,Yang Our senior citizens working day die Our kids addicted smartphones drugs We 're seeing
1,depression,I understand I really I couple auto-immune conditions I depres
2,depression,depression n't beautiful fucking aesthetic depression ugly 's raw 's overwhelming 'll leave bed fo
3,depression,Depression living body fights survive mind trying die
4,depression,depression n't beautiful fucking aesthetic depression ugly 's raw 's overwhelming 'll leave bed fo
5,depression,depression n't beautiful fucking aesthetic depression ugly 's raw 's overwhelming 'll leave bed fo
6,depression,pimples 2020 sadness 2020 fake love 2020 hate 2020 depression 2020 anxiety 2020 heartbreaks 2020 hy
7,depression,pimples 2020 sadness 2020 fake love 2020 hate 2020 depression 2020 anxiety 2020 heartbreaks 2020 hydr
8,depression,nobody talk fact depression make forget champion used sold walmart https
9,depression,It year letting go acceptance One toughest years calming My anxiety depressio
