Index,Keyword,Tweets
0,depression,depression n't beautiful fucking aesthetic depression ugly 's raw 's overwhelming 'll leave bed fo
1,depression,Just wanted recommend Gintama It mother daughter trying survive 1920 Great
2,depression,depression n't beautiful fucking aesthetic depression ugly 's raw 's overwhelming 'll leave bed fo
3,depression,Seasonal depression real
4,depression,pimples 2020 sadness 2020 fake love 2020 hate 2020 depression 2020 anxiety 2020 heartbreaks 2020 hydr
5,depression,depression n't beautiful fucking aesthetic depression ugly 's raw 's overwhelming 'll leave bed fo
6,depression,Depression anxiety diseases mean broke brain They signals equili
7,depression,pimples 2020 sadness 2020 fake love 2020 hate 2020 depression 2020 anxiety 2020 heartbreaks 2020 hydr
8,depression,depression n't beautiful fucking aesthetic depression ugly 's raw 's overwhelming 'll leave bed fo
9,depression,depression n't beautiful fucking aesthetic depression ugly 's raw 's overwhelming 'll leave bed fo
