Index,Keyword,Tweets
0,pregnant,Why pregnant person important zygote embryo fetus Think trollbot
1,pregnant,Wild I oldest four BOTH little sisters pregnant time I already boujee tia kids
2,pregnant,US priorities Nigeria Health Sector include ending preventable maternal child deaths improving nutriti
3,pregnant,Relationship 90 's Meet Become friends Date Marriage Sex Relationship 2019 Meet Sex Date Argue
4,pregnant,One important biological points is-when sex somebody 's gender female say cal
5,pregnant,Just got DM asking I pregnant answer hell NAH I said new decade decade even yet Shit
6,pregnant,Oh I pregnant I seen tweet giving women laughing gas labor
7,pregnant,10 YEARS AGO 58 PEOPLE WERE SHOT AND KILLED INCLUDING 32 JOURNALISTS AND 6 WITNESSES ALL WOMEN WERE SHOT IN THE GENITALS
8,pregnant,Please note `` voter tampering '' impeachment within GOP I
9,pregnant,wan na get girlfriend pregnant bad .. BUT MY DICK MADE IN CHINA
