Index,Keyword,Tweets
0,suicide rate,Flat wages falling life expectancy rising suicide rate rising drug addiction rising inequality
1,suicide rate,The suici
2,suicide rate,A group 43 suicide rate shouldnt join military
3,suicide rate,America 's LGBT suicide murder rate says otherwise This whites continue propagate `` white people go
4,suicide rate,Well considering 're told exactly ever ... 're attempting suicide
5,suicide rate,On serious note reason suicide rate n't higher
6,suicide rate,And report never stated Black youth suicide rate actually surpassed
7,suicide rate,Suicide attempts rose 73 percent 1991 2017 black adolescents sexes injuries attempted suicid
8,suicide rate,Health care housing adoption r privileges Children n't
9,suicide rate,The suicide rate black youth rising faster racial ethnic group making second-leading
10,suicide rate,Because report n't suicide rate White kids It 's suicide rate Black kids
11,suicide rate,I liked Suicide Squad lot every character died predictable one Will interested
12,suicide rate,Military doesnt need minority group ppl 43 suicide rate
13,suicide rate,Comments like exactly suicide rate LGBTQ community high ... parents love supposed
14,suicide rate,Their suicide rates high mentally ill literally confused
15,suicide rate,A study published year found 2001 2017 rate death suicide 13-19 year olds rose 60
16,suicide rate,The suicide rate among First Nations youth 3X higher non-Indigenous yet Ford govt rejected proposal
17,suicide rate,The suicide rate among First Nations youth 3X higher non-Indigenous yet Ford govt rejected proposal
18,suicide rate,The suicide rate among First Nations youth 3X higher non-Indigenous yet Ford govt rejected proposal
19,suicide rate,And report never stated Black youth suicide rate actually surpassed
20,suicide rate,No need report DID NOT say suicide rate surpassed Whites It states suic
21,suicide rate,The suicide rate among First Nations youth 3X higher non-Indigenous yet Ford govt rejected proposal
22,suicide rate,The suicide rate black youth rising faster racial ethnic group making second-leading
23,suicide rate,The suicide rate among First Nations youth 3X higher non-Indigenous yet Ford govt rejected proposal
24,suicide rate,The suicide rate among First Nations youth 3X higher non-Indigenous yet Ford govt rejected proposal
25,suicide rate,And report never stated Black youth suicide rate actually surpassed
26,suicide rate,The suicide rate among First Nations youth 3X higher non-Indigenous yet Ford govt rejected proposal
27,suicide rate,The report also found suicide attempts rose 73 percent 1991 2017 black adolescents sexes inju
28,suicide rate,imagine soending
29,suicide rate,Suicide attempts rose 73 percent 1991 2017 black adolescents sexes injuries attempted suicid
30,suicide rate,The suicide rate among First Nations youth 3X higher non-Indigenous yet Ford govt rejected proposal
31,suicide rate,Suicide attempts rose 73 percent 1991 2017 black adolescents sexes injuries attempted suicid
32,suicide rate,The suicide rate among First Nations youth 3X higher non-Indigenous yet Ford govt rejected proposal
33,suicide rate,suicide rate drops 0
34,suicide rate,The suicide rate among First Nations youth 3X higher non-Indigenous yet Ford govt rejected proposal
35,suicide rate,The suicide rate among First Nations youth 3X higher non-Indigenous yet Ford govt rejected proposal
36,suicide rate,The suicide rate among First Nations youth 3X higher non-Indigenous yet Ford govt rejected proposal
37,suicide rate,Suicide attempts rose 73 percent 1991 2017 black adolescents sexes injuries attempted suicid
38,suicide rate,
39,suicide rate,The suicide rate among First Nations youth 3X higher non-Indigenous yet Ford govt rejected proposal
40,suicide rate,4 Norwegians attend church regularly country becomes secular many peo
41,suicide rate,Christmastime likely hanging around family great way prevent suicide ar
42,suicide rate,The suicide rate among First Nations youth 3X higher non-Indigenous yet Ford govt rejected proposal
43,suicide rate,I hope quickly enact somewhat tepid imo solutions/steps article Suicide rate ris
44,suicide rate,Old physicians tell students lives bad stop complaining
45,suicide rate,Exactly 's sick `` game '' It 's wrong many levels I feel sorry child parents th
46,suicide rate,The suicide rate among First Nations youth 3X higher non-Indigenous yet Ford govt rejected proposal
